"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"Sakesphorus_luctuosus",-5.19852117076277,-6.31971225456065,-0.331440095963508,-0.291727373471663,-1.40164467984744,-0.170769699079163,-0.375265890493761,0.149400887250765
"Hypocnemis_ochrogyna",-2.74838803303873,-4.28888993297639,-0.445232469083396,-1.37061126306261,-2.50538612305068,0.59209736953075,-0.295646622817096,0.263631526213822
"Rhegmatorhina_hoffmannsi",-2.16270507452922,-4.56013106343687,-1.33358866968411,0.290074893954417,-1.5636716423476,0.214337448800343,-0.465146841434862,0.158989643080804
"Furnarius_figulus",-2.63346875585024,-3.49012523537062,0.0997950830446033,0.272237824151887,-2.14062729499547,0.388831529390504,-0.436546148376237,-0.0812678652506221
"Campylorhamphus_procurvoides",-2.95583985007949,-5.3846058768951,0.194505768920344,0.529594707506193,-0.214216539512771,-0.0132979166937655,-0.319693622278329,0.128610872029177
"Xiphorhynchus_elegans",-1.61964824885024,-6.18844044373754,1.18548886356419,-0.842103516826112,-1.53716315402284,0.561434943045691,-0.311748388968009,-0.176911589228688
"Sclerurus_mexicanus",-0.960718290827413,-3.56067606027475,-0.803230549438225,-0.628628200217372,-1.00399867669247,0.446611214769244,-0.402016670922955,0.116575286355613
"Formicarius_rufipectus",-6.1987339957944,-1.99421416362754,0.814717790683972,-1.229719417351,-0.10131504306296,0.190180514252501,-0.873736029868586,-0.00883667840834673
"Scytalopus_superciliaris",-1.52700059808263,-1.47530395975463,0.404415082927954,0.99799510547737,-0.699600811341364,0.432481169862994,-0.79359132918647,0.0442253609592758
"Grallaria_varia",-11.0347947684682,-7.43821036128915,1.31395732653,-0.882120288513911,-1.18568152663841,0.120953456304039,-0.395343245930273,-0.0887306903679885
"Menura_novaehollandiae",-2.50171712267827,-7.10772975113726,-1.10669954263233,1.68881524417897,-1.22823805305302,0.0745729297418144,-0.355448347931261,-0.145094548278673
"Atrichornis_clamosus",0.328648787197111,-6.25780332364125,-1.60945346683326,1.20538175258228,-1.02676656134345,0.351455358013621,-0.231508152067575,-0.230795117276778
"Ptilonorhynchus_violaceus",0.196920160383195,-9.5811500978673,-1.65743879179379,0.237312645541447,-1.6129104594759,-0.226383826936382,0.437761153958963,-0.0720812397697127
"Climacteris_rufus",0.507285797056812,-5.72440425149582,-1.30616174081654,-1.40287629014907,0.519330670859449,-0.153796810877324,-0.500265033577809,0.0409923516155589
"Pardalotus_punctatus",-3.81972245535764,-0.760750197336344,2.11888037833402,-1.1778097581544,0.457687947112104,-0.0789142927121219,-0.812640183473187,-0.0438008690167724
"Grantiella_picta",-1.77486617501523,-4.73498659267308,-1.4374671531004,-0.576844478578389,-1.15867317860157,0.443635305115048,-0.208375760643328,0.0601180628004538
"Origma_solitaria",-0.205962540928834,-2.18980793756448,-2.02616351114207,-0.742202636662123,-1.91286461676864,0.517080792366048,-0.525064324368931,0.130748882230331
"Dasyornis_broadbenti",0.785652611656927,-4.28092498681601,-1.17227263047415,1.04256838505768,-0.765543499386288,0.693532436489101,-0.188757285503492,0.109740508464127
"Malurus_elegans",2.63919290885838,-5.62443811281664,-0.362374515622082,-0.202924715445865,-0.51093032896394,-0.124611431857261,0.185020943136619,-0.0770279381725435
"Pomatostomus_ruficeps",-2.26042897738611,-5.53741631590526,-0.260883941144403,1.31721154656548,-1.23810165951117,-0.250962990988889,-0.542967376512948,0.349114817910926
"Orthonyx_spaldingii",-3.00592370971799,-8.23927295112597,0.555715207706842,-0.0863182369115265,-1.99213618013246,0.255346221649397,-0.578154972684284,-0.113000205015073
"Notiomystis_cincta",1.93484165323405,-1.3975038291409,-0.413275873038507,1.63363309716409,-1.01235155699726,1.13287332411155,-0.463772763525264,-0.121938781602891
"Cnemophilus_loriae",-4.93581703233195,0.44326050998463,-2.19452189702686,-0.350233461735176,0.0691069449490371,0.0695184072669481,0.34612831099719,-0.0416048013900031
"Callaeas_cinereus",-4.67683631050293,-8.68537227844146,-2.53992151834108,0.705904150668789,-1.09584110745787,0.854058500196083,0.0048341153822572,0.0827079507385531
"Melanocharis_versteri",0.577363094855102,-0.245201318414386,2.30694656672344,2.08682301920855,-2.4575340273479,0.727314222506186,-0.617005698472851,-0.393504600824254
"Rhagologus_leucostigma",-1.30299930097824,-5.22941273805011,-1.31588889247059,1.09780759879184,-0.412233690572689,0.372014010571972,-0.367738151102475,0.0805434715034978
"Gymnorhina_tibicen",-5.453968816914,-7.95696115239653,0.0284108053081239,1.64783922483105,-0.234293761780392,0.329160992108559,-0.26483013818804,-0.0207746291224793
"Artamus_cinereus",-1.22420860072228,-6.22230174401839,-0.652999376511635,0.496805607698174,-2.75703890574481,0.0700722073006539,-0.941429687595928,-0.0886871662862457
"Machaerirhynchus_nigripectus",0.766837966707574,-3.90362409507573,-0.240661380145888,0.473415865963747,-1.21611386776625,0.47663060379929,-0.128354610291095,0.0411482988820679
"Platysteira_castanea",-7.71924448104621,-0.938332294088782,0.582448799802642,1.05923696566002,-0.702617416470122,0.371775510546385,0.0437054609657652,-0.109776611544675
"Mystacornis_crossleyi",-3.63363692387295,-2.71004032834358,-2.41006800208346,-0.430440355427284,-0.646340925598369,0.514735568472805,-0.860583202955842,0.135807080075234
"Dryoscopus_gambensis",0.0289946098423136,-4.35710667212529,-0.894529345067818,1.17855177013974,-1.16354472707394,0.122916727325494,-0.442341777720449,0.0633335784173448
"Aleadryas_rufinucha",-2.48993824813055,-2.2849528775827,0.531372196699875,-0.0850138436028592,-1.9476784171785,0.638533991971954,-0.566654050338544,-0.107199114677099
"Coracina_coerulescens",0.540741511276124,-5.70880197046028,-1.28985796079077,0.900096855075883,-1.14869481820432,-0.110693097421848,-0.225888163893813,-0.251082393418013
"Falcunculus_frontatus",-3.92715227019596,-4.67216851198544,-1.98664018203606,-2.05088342519534,-1.45789823608216,0.543599550333231,-0.233478573548636,0.0984030207856121
"Eulacestoma_nigropectus",-4.3269065552067,-1.11225008006905,-1.05423744023194,-2.2420652650095,1.15216121621599,-0.269557374804396,-1.39303170446979,-0.0941447587970234
"Mohoua_ochrocephala",-1.56329968083128,-4.58416339290606,-0.0326847748742891,-0.211108798551894,-0.528750387714204,0.472895005199495,-0.10299073929056,0.0798016617922652
"Ptilorrhoa_leucosticta",-2.71646573970513,-5.59409659456516,1.73243520464043,-4.18533242881321,-0.946889139576098,-0.296857997980268,-0.245726779429891,-0.0159200017540147
"Psophodes_occidentalis",-1.5774559254661,-3.00163314172685,0.310884418037617,0.567820048931686,-0.622658348050623,0.98259132663023,-0.327399048449612,0.184969046524854
"Erpornis_zantholeuca",0.337927857027476,-3.09935872760575,0.603637710411532,0.655467660179221,-0.113623405217501,0.186950649004566,-0.362285461112244,-0.0247159670684868
"Vireo_altiloquus",-1.61895475579251,-3.22981002009435,-0.157537891989396,1.9018999055455,-1.475596183755,0.297477869662731,-0.77347857309695,-0.163643814951252
"Pteruthius_melanotis",-0.61199565126403,-4.9413118003677,0.446917443818585,-0.724806368235186,-1.78509462373531,0.0970185233156144,0.00659976389345307,0.0834576952296276
"Oriolus_oriolus",-4.27586978531632,-4.92788800813045,0.733705129927603,1.44908167640763,-0.491780164993386,0.547708728342099,-0.52474428287575,0.121643897027473
"Oreocharis_arfaki",0.912930097601038,-0.362310740904425,-0.96139314984414,-0.308308590705948,0.219735122814485,0.277167049997206,-0.769945437296397,0.00426978127101734
"Ifrita_kowaldi",-0.0696557430299427,-3.05058252279639,-1.15323596458457,0.939266898919924,-1.3960553114792,0.339658689263906,-0.551278467001592,0.0859225976692347
"Myiagra_hebetior",-2.41013030985142,-4.20245110324401,0.562710415263303,-0.637313659613,-1.11532984575954,0.165468888899358,-0.191287154495541,0.0635950246371901
"Paradisaea_raggiana",-5.44432204086441,-5.38779388183335,-1.03539361646113,-1.73166224111115,-2.0190399023765,0.416814880657751,-0.375945315692619,0.148605162463337
"Rhipidura_dahli",-5.47876010573911,-6.65757264167901,0.00896580362260924,1.15369097035791,-0.357124998515162,0.355021961742082,-0.39522233367008,0.1667038951727
"Chaetorhynchus_papuensis",-1.36197213120545,-5.93027298049651,-0.403830792609411,0.971905154307887,-0.489541702610419,0.354112454413992,-0.110568149102786,0.0307273024993938
"Struthidea_cinerea",-2.44716020447168,-6.45203363231584,-2.13685248903727,0.960482026091563,-2.33131055232035,-0.12180605420403,-0.472755803995041,0.0219246458996621
"Lanius_ludovicianus",-1.48325272163264,-4.56368040160471,1.35839654457681,1.80127234448535,-1.04562918803734,0.965988976450383,-0.459520707614511,0.0835712114100825
"Aphelocoma_coerulescens",-3.86638245343849,-0.505126661932141,-1.74620014500816,2.20424643663473,-2.93248081738667,-0.0376869617273045,-0.395023191066653,-0.152938546257567
"Corvus_brachyrhynchos",-6.01892059803146,-4.18838793778052,-0.462735730101019,-0.482362858943506,-2.4995898404246,0.537052745157296,-0.659202949440112,-0.0904682753775283
"Dicrurus_megarhynchus",-5.26123389355803,-5.41615909445643,-0.454155473033035,1.68301689271353,-2.53953870378982,-0.145448738503648,-0.811993894992749,0.330562440664366
"Pachycephala_philippinensis",-2.83538348318914,-3.06756616045475,-0.309728851451887,0.772108248506476,-0.788398871487481,0.564175075377556,-0.675956929847808,-0.0580496238966576
"Daphoenositta_chrysoptera",1.04344355327351,-4.02145292636515,-1.77548009265925,-0.837888305449837,-1.37994398576125,0.352081940116522,-0.458531528101671,0.00331716440009535
"Panurus_biarmicus",-1.65481908726593,0.349372612778287,-0.362378260176847,1.66470180996873,-1.93350861460149,0.316947294809376,-0.520318465509553,0.225429071991651
"Eremophila_alpestris",1.20950856331678,-5.39192910760172,0.0208227714628155,1.52319199492911,0.424553363967446,0.107807007435114,-0.114082681859532,0.00305418102415084
"Calandrella_cheleensis",1.34316111710054,-6.90676438733507,0.99956124453047,1.79304808402964,0.248604861542485,-0.328678820021499,0.0642675737570499,-0.101721889857062
"Nicator_chloris",-4.25231338165651,-6.39786071866675,0.225988514458216,0.970008236830572,-1.02528730055999,0.194966120271728,-0.314104979350571,-0.0825003029330666
